Generate posit configurations
"Generate Posit Lookup table for a POSIT<2,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
4,0100,0100,0,0,0,10-,0-,~,1,4.2x4p
5,0101,0101,0,0,2,10-,1-,~,4,4.2x5p
6,0110,0110,1,0,4,110,--,~,16,4.2x6p
7,0111,0111,2,0,8,111,--,~,256,4.2x7p
8,1000,1000,3,1,-8,000,--,~,nar,4.2x8p
9,1001,1111,2,1,8,111,--,~,-256,4.2x9p
10,1010,1110,1,1,4,110,--,~,-16,4.2xAp
11,1011,1101,0,1,2,10-,1-,~,-4,4.2xBp
12,1100,1100,0,1,0,10-,0-,~,-1,4.2xCp
13,1101,1011,-1,1,-2,01-,1-,~,-0.25,4.2xDp
14,1110,1010,-1,1,-4,01-,0-,~,-0.0625,4.2xEp
15,1111,1001,-2,1,-8,001,--,~,-0.00390625,4.2xFp

"Generate Posit Lookup table for a POSIT<4,3> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000,0000,-3,0,-16,000,---,~,0,4.3x0p
1,0001,0001,-2,0,-16,001,---,~,1.52587890625e-05,4.3x1p
2,0010,0010,-1,0,-8,01-,0--,~,0.00390625,4.3x2p
3,0011,0011,-1,0,-4,01-,1--,~,0.0625,4.3x3p
4,0100,0100,0,0,0,10-,0--,~,1,4.3x4p
5,0101,0101,0,0,4,10-,1--,~,16,4.3x5p
6,0110,0110,1,0,8,110,---,~,256,4.3x6p
7,0111,0111,2,0,16,111,---,~,65536,4.3x7p
8,1000,1000,3,1,-16,000,---,~,nar,4.3x8p
9,1001,1111,2,1,16,111,---,~,-65536,4.3x9p
10,1010,1110,1,1,8,110,---,~,-256,4.3xAp
11,1011,1101,0,1,4,10-,1--,~,-16,4.3xBp
12,1100,1100,0,1,0,10-,0--,~,-1,4.3xCp
13,1101,1011,-1,1,-4,01-,1--,~,-0.0625,4.3xDp
14,1110,1010,-1,1,-8,01-,0--,~,-0.00390625,4.3xEp
15,1111,1001,-2,1,-16,001,---,~,-1.52587890625e-05,4.3xFp

"Generate Posit Lookup table for a POSIT<4,4> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000,0000,-3,0,-32,000,----,~,0,4.4x0p
1,0001,0001,-2,0,-32,001,----,~,2.328306436538696289063e-10,4.4x1p
2,0010,0010,-1,0,-16,01-,0---,~,1.52587890625e-05,4.4x2p
3,0011,0011,-1,0,-8,01-,1---,~,0.00390625,4.4x3p
4,0100,0100,0,0,0,10-,0---,~,1,4.4x4p
5,0101,0101,0,0,8,10-,1---,~,256,4.4x5p
6,0110,0110,1,0,16,110,----,~,65536,4.4x6p
7,0111,0111,2,0,32,111,----,~,4294967296,4.4x7p
8,1000,1000,3,1,-32,000,----,~,nar,4.4x8p
9,1001,1111,2,1,32,111,----,~,-4294967296,4.4x9p
10,1010,1110,1,1,16,110,----,~,-65536,4.4xAp
11,1011,1101,0,1,8,10-,1---,~,-256,4.4xBp
12,1100,1100,0,1,0,10-,0---,~,-1,4.4xCp
13,1101,1011,-1,1,-8,01-,1---,~,-0.00390625,4.4xDp
14,1110,1010,-1,1,-16,01-,0---,~,-1.52587890625e-05,4.4xEp
15,1111,1001,-2,1,-32,001,----,~,-2.328306436538696289063e-10,4.4xFp

"Generate Posit Lookup table for a POSIT<4,5> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000,0000,-3,0,-64,000,-----,~,0,4.5x0p
1,0001,0001,-2,0,-64,001,-----,~,5.421010862427522170037e-20,4.5x1p
2,0010,0010,-1,0,-32,01-,0----,~,2.328306436538696289063e-10,4.5x2p
3,0011,0011,-1,0,-16,01-,1----,~,1.52587890625e-05,4.5x3p
4,0100,0100,0,0,0,10-,0----,~,1,4.5x4p
5,0101,0101,0,0,16,10-,1----,~,65536,4.5x5p
6,0110,0110,1,0,32,110,-----,~,4294967296,4.5x6p
7,0111,0111,2,0,64,111,-----,~,18446744073709551616,4.5x7p
8,1000,1000,3,1,-64,000,-----,~,nar,4.5x8p
9,1001,1111,2,1,64,111,-----,~,-18446744073709551616,4.5x9p
10,1010,1110,1,1,32,110,-----,~,-4294967296,4.5xAp
11,1011,1101,0,1,16,10-,1----,~,-65536,4.5xBp
12,1100,1100,0,1,0,10-,0----,~,-1,4.5xCp
13,1101,1011,-1,1,-16,01-,1----,~,-1.52587890625e-05,4.5xDp
14,1110,1010,-1,1,-32,01-,0----,~,-2.328306436538696289063e-10,4.5xEp
15,1111,1001,-2,1,-64,001,-----,~,-5.421010862427522170037e-20,4.5xFp

"Generate Posit Lookup table for a POSIT<4,6> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000,0000,-3,0,-128,000,------,~,0,4.6x0p
1,0001,0001,-2,0,-128,001,------,~,2.938735877055718769922e-39,4.6x1p
2,0010,0010,-1,0,-64,01-,0-----,~,5.421010862427522170037e-20,4.6x2p
3,0011,0011,-1,0,-32,01-,1-----,~,2.328306436538696289063e-10,4.6x3p
4,0100,0100,0,0,0,10-,0-----,~,1,4.6x4p
5,0101,0101,0,0,32,10-,1-----,~,4294967296,4.6x5p
6,0110,0110,1,0,64,110,------,~,18446744073709551616,4.6x6p
7,0111,0111,2,0,128,111,------,~,3.402823669209384634634e+38,4.6x7p
8,1000,1000,3,1,-128,000,------,~,nar,4.6x8p
9,1001,1111,2,1,128,111,------,~,-3.402823669209384634634e+38,4.6x9p
10,1010,1110,1,1,64,110,------,~,-18446744073709551616,4.6xAp
11,1011,1101,0,1,32,10-,1-----,~,-4294967296,4.6xBp
12,1100,1100,0,1,0,10-,0-----,~,-1,4.6xCp
13,1101,1011,-1,1,-32,01-,1-----,~,-2.328306436538696289063e-10,4.6xDp
14,1110,1010,-1,1,-64,01-,0-----,~,-5.421010862427522170037e-20,4.6xEp
15,1111,1001,-2,1,-128,001,------,~,-2.938735877055718769922e-39,4.6xFp

"Generate Posit Lookup table for a POSIT<5,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000,00000,-4,0,-3,0000,~,--,0,5.0x00p
1,00001,00001,-3,0,-3,0001,~,--,0.125,5.0x01p
2,00010,00010,-2,0,-2,001-,~,0-,0.25,5.0x02p
3,00011,00011,-2,0,-2,001-,~,1-,0.375,5.0x03p
4,00100,00100,-1,0,-1,01--,~,00,0.5,5.0x04p
5,00101,00101,-1,0,-1,01--,~,01,0.625,5.0x05p
6,00110,00110,-1,0,-1,01--,~,10,0.75,5.0x06p
7,00111,00111,-1,0,-1,01--,~,11,0.875,5.0x07p
8,01000,01000,0,0,0,10--,~,00,1,5.0x08p
9,01001,01001,0,0,0,10--,~,01,1.25,5.0x09p
10,01010,01010,0,0,0,10--,~,10,1.5,5.0x0Ap
11,01011,01011,0,0,0,10--,~,11,1.75,5.0x0Bp
12,01100,01100,1,0,1,110-,~,0-,2,5.0x0Cp
13,01101,01101,1,0,1,110-,~,1-,3,5.0x0Dp
14,01110,01110,2,0,2,1110,~,--,4,5.0x0Ep
15,01111,01111,3,0,3,1111,~,--,8,5.0x0Fp
16,10000,10000,4,1,-3,0000,~,--,nar,5.0x10p
17,10001,11111,3,1,3,1111,~,--,-8,5.0x11p
18,10010,11110,2,1,2,1110,~,--,-4,5.0x12p
19,10011,11101,1,1,1,110-,~,1-,-3,5.0x13p
20,10100,11100,1,1,1,110-,~,0-,-2,5.0x14p
21,10101,11011,0,1,0,10--,~,11,-1.75,5.0x15p
22,10110,11010,0,1,0,10--,~,10,-1.5,5.0x16p
23,10111,11001,0,1,0,10--,~,01,-1.25,5.0x17p
24,11000,11000,0,1,0,10--,~,00,-1,5.0x18p
25,11001,10111,-1,1,-1,01--,~,11,-0.875,5.0x19p
26,11010,10110,-1,1,-1,01--,~,10,-0.75,5.0x1Ap
27,11011,10101,-1,1,-1,01--,~,01,-0.625,5.0x1Bp
28,11100,10100,-1,1,-1,01--,~,00,-0.5,5.0x1Cp
29,11101,10011,-2,1,-2,001-,~,1-,-0.375,5.0x1Dp
30,11110,10010,-2,1,-2,001-,~,0-,-0.25,5.0x1Ep
31,11111,10001,-3,1,-3,0001,~,--,-0.125,5.0x1Fp

"Generate Posit Lookup table for a POSIT<5,1> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000,00000,-4,0,-6,0000,-,-,0,5.1x00p
1,00001,00001,-3,0,-6,0001,-,-,0.015625,5.1x01p
2,00010,00010,-2,0,-4,001-,0,-,0.0625,5.1x02p
3,00011,00011,-2,0,-3,001-,1,-,0.125,5.1x03p
4,00100,00100,-1,0,-2,01--,0,0,0.25,5.1x04p
5,00101,00101,-1,0,-2,01--,0,1,0.375,5.1x05p
6,00110,00110,-1,0,-1,01--,1,0,0.5,5.1x06p
7,00111,00111,-1,0,-1,01--,1,1,0.75,5.1x07p
8,01000,01000,0,0,0,10--,0,0,1,5.1x08p
9,01001,01001,0,0,0,10--,0,1,1.5,5.1x09p
10,01010,01010,0,0,1,10--,1,0,2,5.1x0Ap
11,01011,01011,0,0,1,10--,1,1,3,5.1x0Bp
12,01100,01100,1,0,2,110-,0,-,4,5.1x0Cp
13,01101,01101,1,0,3,110-,1,-,8,5.1x0Dp
14,01110,01110,2,0,4,1110,-,-,16,5.1x0Ep
15,01111,01111,3,0,6,1111,-,-,64,5.1x0Fp
16,10000,10000,4,1,-6,0000,-,-,nar,5.1x10p
17,10001,11111,3,1,6,1111,-,-,-64,5.1x11p
18,10010,11110,2,1,4,1110,-,-,-16,5.1x12p
19,10011,11101,1,1,3,110-,1,-,-8,5.1x13p
20,10100,11100,1,1,2,110-,0,-,-4,5.1x14p
21,10101,11011,0,1,1,10--,1,1,-3,5.1x15p
22,10110,11010,0,1,1,10--,1,0,-2,5.1x16p
23,10111,11001,0,1,0,10--,0,1,-1.5,5.1x17p
24,11000,11000,0,1,0,10--,0,0,-1,5.1x18p
25,11001,10111,-1,1,-1,01--,1,1,-0.75,5.1x19p
26,11010,10110,-1,1,-1,01--,1,0,-0.5,5.1x1Ap
27,11011,10101,-1,1,-2,01--,0,1,-0.375,5.1x1Bp
28,11100,10100,-1,1,-2,01--,0,0,-0.25,5.1x1Cp
29,11101,10011,-2,1,-3,001-,1,-,-0.125,5.1x1Dp
30,11110,10010,-2,1,-4,001-,0,-,-0.0625,5.1x1Ep
31,11111,10001,-3,1,-6,0001,-,-,-0.015625,5.1x1Fp

"Generate Posit Lookup table for a POSIT<5,2> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000,00000,-4,0,-12,0000,--,~,0,5.2x00p
1,00001,00001,-3,0,-12,0001,--,~,0.000244140625,5.2x01p
2,00010,00010,-2,0,-8,001-,0-,~,0.00390625,5.2x02p
3,00011,00011,-2,0,-6,001-,1-,~,0.015625,5.2x03p
4,00100,00100,-1,0,-4,01--,00,~,0.0625,5.2x04p
5,00101,00101,-1,0,-3,01--,01,~,0.125,5.2x05p
6,00110,00110,-1,0,-2,01--,10,~,0.25,5.2x06p
7,00111,00111,-1,0,-1,01--,11,~,0.5,5.2x07p
8,01000,01000,0,0,0,10--,00,~,1,5.2x08p
9,01001,01001,0,0,1,10--,01,~,2,5.2x09p
10,01010,01010,0,0,2,10--,10,~,4,5.2x0Ap
11,01011,01011,0,0,3,10--,11,~,8,5.2x0Bp
12,01100,01100,1,0,4,110-,0-,~,16,5.2x0Cp
13,01101,01101,1,0,6,110-,1-,~,64,5.2x0Dp
14,01110,01110,2,0,8,1110,--,~,256,5.2x0Ep
15,01111,01111,3,0,12,1111,--,~,4096,5.2x0Fp
16,10000,10000,4,1,-12,0000,--,~,nar,5.2x10p
17,10001,11111,3,1,12,1111,--,~,-4096,5.2x11p
18,10010,11110,2,1,8,1110,--,~,-256,5.2x12p
19,10011,11101,1,1,6,110-,1-,~,-64,5.2x13p
20,10100,11100,1,1,4,110-,0-,~,-16,5.2x14p
21,10101,11011,0,1,3,10--,11,~,-8,5.2x15p
22,10110,11010,0,1,2,10--,10,~,-4,5.2x16p
23,10111,11001,0,1,1,10--,01,~,-2,5.2x17p
24,11000,11000,0,1,0,10--,00,~,-1,5.2x18p
25,11001,10111,-1,1,-1,01--,11,~,-0.5,5.2x19p
26,11010,10110,-1,1,-2,01--,10,~,-0.25,5.2x1Ap
27,11011,10101,-1,1,-3,01--,01,~,-0.125,5.2x1Bp
28,11100,10100,-1,1,-4,01--,00,~,-0.0625,5.2x1Cp
29,11101,10011,-2,1,-6,001-,1-,~,-0.015625,5.2x1Dp
30,11110,10010,-2,1,-8,001-,0-,~,-0.00390625,5.2x1Ep
31,11111,10001,-3,1,-12,0001,--,~,-0.000244140625,5.2x1Fp

"Generate Posit Lookup table for a POSIT<5,3> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000,00000,-4,0,-24,0000,---,~,0,5.3x00p
1,00001,00001,-3,0,-24,0001,---,~,5.9604644775390625e-08,5.3x01p
2,00010,00010,-2,0,-16,001-,0--,~,1.52587890625e-05,5.3x02p
3,00011,00011,-2,0,-12,001-,1--,~,0.000244140625,5.3x03p
4,00100,00100,-1,0,-8,01--,00-,~,0.00390625,5.3x04p
5,00101,00101,-1,0,-6,01--,01-,~,0.015625,5.3x05p
6,00110,00110,-1,0,-4,01--,10-,~,0.0625,5.3x06p
7,00111,00111,-1,0,-2,01--,11-,~,0.25,5.3x07p
8,01000,01000,0,0,0,10--,00-,~,1,5.3x08p
9,01001,01001,0,0,2,10--,01-,~,4,5.3x09p
10,01010,01010,0,0,4,10--,10-,~,16,5.3x0Ap
11,01011,01011,0,0,6,10--,11-,~,64,5.3x0Bp
12,01100,01100,1,0,8,110-,0--,~,256,5.3x0Cp
13,01101,01101,1,0,12,110-,1--,~,4096,5.3x0Dp
14,01110,01110,2,0,16,1110,---,~,65536,5.3x0Ep
15,01111,01111,3,0,24,1111,---,~,16777216,5.3x0Fp
16,10000,10000,4,1,-24,0000,---,~,nar,5.3x10p
17,10001,11111,3,1,24,1111,---,~,-16777216,5.3x11p
18,10010,11110,2,1,16,1110,---,~,-65536,5.3x12p
19,10011,11101,1,1,12,110-,1--,~,-4096,5.3x13p
20,10100,11100,1,1,8,110-,0--,~,-256,5.3x14p
21,10101,11011,0,1,6,10--,11-,~,-64,5.3x15p
22,10110,11010,0,1,4,10--,10-,~,-16,5.3x16p
23,10111,11001,0,1,2,10--,01-,~,-4,5.3x17p
24,11000,11000,0,1,0,10--,00-,~,-1,5.3x18p
25,11001,10111,-1,1,-2,01--,11-,~,-0.25,5.3x19p
26,11010,10110,-1,1,-4,01--,10-,~,-0.0625,5.3x1Ap
27,11011,10101,-1,1,-6,01--,01-,~,-0.015625,5.3x1Bp
28,11100,10100,-1,1,-8,01--,00-,~,-0.00390625,5.3x1Cp
29,11101,10011,-2,1,-12,001-,1--,~,-0.000244140625,5.3x1Dp
30,11110,10010,-2,1,-16,001-,0--,~,-1.52587890625e-05,5.3x1Ep
31,11111,10001,-3,1,-24,0001,---,~,-5.9604644775390625e-08,5.3x1Fp

"Generate Posit Lookup table for a POSIT<6,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000000,000000,-5,0,-4,00000,~,---,0,6.0x00p
1,000001,000001,-4,0,-4,00001,~,---,0.0625,6.0x01p
2,000010,000010,-3,0,-3,0001-,~,0--,0.125,6.0x02p
3,000011,000011,-3,0,-3,0001-,~,1--,0.1875,6.0x03p
4,000100,000100,-2,0,-2,001--,~,00-,0.25,6.0x04p
5,000101,000101,-2,0,-2,001--,~,01-,0.3125,6.0x05p
6,000110,000110,-2,0,-2,001--,~,10-,0.375,6.0x06p
7,000111,000111,-2,0,-2,001--,~,11-,0.4375,6.0x07p
8,001000,001000,-1,0,-1,01---,~,000,0.5,6.0x08p
9,001001,001001,-1,0,-1,01---,~,001,0.5625,6.0x09p
10,001010,001010,-1,0,-1,01---,~,010,0.625,6.0x0Ap
11,001011,001011,-1,0,-1,01---,~,011,0.6875,6.0x0Bp
12,001100,001100,-1,0,-1,01---,~,100,0.75,6.0x0Cp
13,001101,001101,-1,0,-1,01---,~,101,0.8125,6.0x0Dp
14,001110,001110,-1,0,-1,01---,~,110,0.875,6.0x0Ep
15,001111,001111,-1,0,-1,01---,~,111,0.9375,6.0x0Fp
16,010000,010000,0,0,0,10---,~,000,1,6.0x10p
17,010001,010001,0,0,0,10---,~,001,1.125,6.0x11p
18,010010,010010,0,0,0,10---,~,010,1.25,6.0x12p
19,010011,010011,0,0,0,10---,~,011,1.375,6.0x13p
20,010100,010100,0,0,0,10---,~,100,1.5,6.0x14p
21,010101,010101,0,0,0,10---,~,101,1.625,6.0x15p
22,010110,010110,0,0,0,10---,~,110,1.75,6.0x16p
23,010111,010111,0,0,0,10---,~,111,1.875,6.0x17p
24,011000,011000,1,0,1,110--,~,00-,2,6.0x18p
25,011001,011001,1,0,1,110--,~,01-,2.5,6.0x19p
26,011010,011010,1,0,1,110--,~,10-,3,6.0x1Ap
27,011011,011011,1,0,1,110--,~,11-,3.5,6.0x1Bp
28,011100,011100,2,0,2,1110-,~,0--,4,6.0x1Cp
29,011101,011101,2,0,2,1110-,~,1--,6,6.0x1Dp
30,011110,011110,3,0,3,11110,~,---,8,6.0x1Ep
31,011111,011111,4,0,4,11111,~,---,16,6.0x1Fp
32,100000,100000,5,1,-4,00000,~,---,nar,6.0x20p
33,100001,111111,4,1,4,11111,~,---,-16,6.0x21p
34,100010,111110,3,1,3,11110,~,---,-8,6.0x22p
35,100011,111101,2,1,2,1110-,~,1--,-6,6.0x23p
36,100100,111100,2,1,2,1110-,~,0--,-4,6.0x24p
37,100101,111011,1,1,1,110--,~,11-,-3.5,6.0x25p
38,100110,111010,1,1,1,110--,~,10-,-3,6.0x26p
39,100111,111001,1,1,1,110--,~,01-,-2.5,6.0x27p
40,101000,111000,1,1,1,110--,~,00-,-2,6.0x28p
41,101001,110111,0,1,0,10---,~,111,-1.875,6.0x29p
42,101010,110110,0,1,0,10---,~,110,-1.75,6.0x2Ap
43,101011,110101,0,1,0,10---,~,101,-1.625,6.0x2Bp
44,101100,110100,0,1,0,10---,~,100,-1.5,6.0x2Cp
45,101101,110011,0,1,0,10---,~,011,-1.375,6.0x2Dp
46,101110,110010,0,1,0,10---,~,010,-1.25,6.0x2Ep
47,101111,110001,0,1,0,10---,~,001,-1.125,6.0x2Fp
48,110000,110000,0,1,0,10---,~,000,-1,6.0x30p
49,110001,101111,-1,1,-1,01---,~,111,-0.9375,6.0x31p
50,110010,101110,-1,1,-1,01---,~,110,-0.875,6.0x32p
51,110011,101101,-1,1,-1,01---,~,101,-0.8125,6.0x33p
52,110100,101100,-1,1,-1,01---,~,100,-0.75,6.0x34p
53,110101,101011,-1,1,-1,01---,~,011,-0.6875,6.0x35p
54,110110,101010,-1,1,-1,01---,~,010,-0.625,6.0x36p
55,110111,101001,-1,1,-1,01---,~,001,-0.5625,6.0x37p
56,111000,101000,-1,1,-1,01---,~,000,-0.5,6.0x38p
57,111001,100111,-2,1,-2,001--,~,11-,-0.4375,6.0x39p
58,111010,100110,-2,1,-2,001--,~,10-,-0.375,6.0x3Ap
59,111011,100101,-2,1,-2,001--,~,01-,-0.3125,6.0x3Bp
60,111100,100100,-2,1,-2,001--,~,00-,-0.25,6.0x3Cp
61,111101,100011,-3,1,-3,0001-,~,1--,-0.1875,6.0x3Dp
62,111110,100010,-3,1,-3,0001-,~,0--,-0.125,6.0x3Ep
63,111111,100001,-4,1,-4,00001,~,---,-0.0625,6.0x3Fp

"Generate Posit Lookup table for a POSIT<6,1> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000000,000000,-5,0,-8,00000,-,--,0,6.1x00p
1,000001,000001,-4,0,-8,00001,-,--,0.00390625,6.1x01p
2,000010,000010,-3,0,-6,0001-,0,--,0.015625,6.1x02p
3,000011,000011,-3,0,-5,0001-,1,--,0.03125,6.1x03p
4,000100,000100,-2,0,-4,001--,0,0-,0.0625,6.1x04p
5,000101,000101,-2,0,-4,001--,0,1-,0.09375,6.1x05p
6,000110,000110,-2,0,-3,001--,1,0-,0.125,6.1x06p
7,000111,000111,-2,0,-3,001--,1,1-,0.1875,6.1x07p
8,001000,001000,-1,0,-2,01---,0,00,0.25,6.1x08p
9,001001,001001,-1,0,-2,01---,0,01,0.3125,6.1x09p
10,001010,001010,-1,0,-2,01---,0,10,0.375,6.1x0Ap
11,001011,001011,-1,0,-2,01---,0,11,0.4375,6.1x0Bp
12,001100,001100,-1,0,-1,01---,1,00,0.5,6.1x0Cp
13,001101,001101,-1,0,-1,01---,1,01,0.625,6.1x0Dp
14,001110,001110,-1,0,-1,01---,1,10,0.75,6.1x0Ep
15,001111,001111,-1,0,-1,01---,1,11,0.875,6.1x0Fp
16,010000,010000,0,0,0,10---,0,00,1,6.1x10p
17,010001,010001,0,0,0,10---,0,01,1.25,6.1x11p
